SalesOrderID,OrderDate,DueDate,ShipDate,Name,SalesPersonID, SubTotal , TaxAmt , Freight , TotalDue ,BusinessEntityID
43691,5/31/2011,6/12/2011,6/7/2011,Grease and Oil Products Company,277, $874.79 , $83.98 , $26.24 , $985.02 ,496
43692,5/31/2011,6/12/2011,6/7/2011,Bike Dealers Association,281," $38,510.90 "," $3,696.40 "," $1,155.12 "," $43,362.42 ",1414
43693,5/31/2011,6/12/2011,6/7/2011,Clamps & Brackets Co.,275," $20,541.41 "," $1,969.56 ", $615.49 ," $23,126.45 ",306
43694,5/31/2011,6/12/2011,6/7/2011,Juvenile Sports Equipment,279," $20,645.63 "," $1,978.33 ", $618.23 ," $23,242.19 ",440
43695,5/31/2011,6/12/2011,6/7/2011,Sports Sales and Rental,279," $39,373.78 "," $3,787.46 "," $1,183.58 "," $44,344.83 ",1338
43696,5/31/2011,6/12/2011,6/7/2011,Retail Toy Store,279, $419.46 , $40.27 , $12.58 , $472.31 ,1096
43697,5/31/2011,6/12/2011,6/7/2011,Online Orders,Online Order," $3,578.27 ", $286.26 , $89.46 ," $3,953.99 ",NULL
43698,5/31/2011,6/12/2011,6/7/2011,Online Orders,Online Order," $3,399.99 ", $272.00 , $85.00 ," $3,756.99 ",NULL
43699,5/31/2011,6/12/2011,6/7/2011,Online Orders,Online Order," $3,399.99 ", $272.00 , $85.00 ," $3,756.99 ",NULL
43700,5/31/2011,6/12/2011,6/7/2011,Online Orders,Online Order, $699.10 , $55.93 , $17.48 , $772.50 ,NULL
43701,5/31/2011,6/12/2011,6/7/2011,Online Orders,Online Order," $3,399.99 ", $272.00 , $85.00 ," $3,756.99 ",NULL
43702,6/1/2011,6/13/2011,6/8/2011,Online Orders,Online Order," $3,578.27 ", $286.26 , $89.46 ," $3,953.99 ",NULL
43703,6/1/2011,6/13/2011,6/8/2011,Online Orders,Online Order," $3,578.27 ", $286.26 , $89.46 ," $3,953.99 ",NULL
43704,6/1/2011,6/13/2011,6/8/2011,Online Orders,Online Order," $3,374.99 ", $270.00 , $84.37 ," $3,729.36 ",NULL
43705,6/1/2011,6/13/2011,6/8/2011,Online Orders,Online Order," $3,399.99 ", $272.00 , $85.00 ," $3,756.99 ",NULL
43706,6/2/2011,6/14/2011,6/9/2011,Online Orders,Online Order," $3,578.27 ", $286.26 , $89.46 ," $3,953.99 ",NULL
43707,6/2/2011,6/14/2011,6/9/2011,Online Orders,Online Order," $3,578.27 ", $286.26 , $89.46 ," $3,953.99 ",NULL
43708,6/2/2011,6/14/2011,6/9/2011,Online Orders,Online Order, $699.10 , $55.93 , $17.48 , $772.50 ,NULL
43709,6/2/2011,6/14/2011,6/9/2011,Online Orders,Online Order," $3,578.27 ", $286.26 , $89.46 ," $3,953.99 ",NULL
43710,6/2/2011,6/14/2011,6/9/2011,Online Orders,Online Order," $3,578.27 ", $286.26 , $89.46 ," $3,953.99 ",NULL
43711,6/3/2011,6/15/2011,6/10/2011,Online Orders,Online Order," $3,578.27 ", $286.26 , $89.46 ," $3,953.99 ",NULL
43712,6/3/2011,6/15/2011,6/10/2011,Online Orders,Online Order," $3,578.27 ", $286.26 , $89.46 ," $3,953.99 ",NULL
43713,6/4/2011,6/16/2011,6/11/2011,Online Orders,Online Order," $3,578.27 ", $286.26 , $89.46 ," $3,953.99 ",NULL
43714,6/4/2011,6/16/2011,6/11/2011,Online Orders,Online Order," $3,578.27 ", $286.26 , $89.46 ," $3,953.99 ",NULL
43715,6/4/2011,6/16/2011,6/11/2011,Online Orders,Online Order," $3,578.27 ", $286.26 , $89.46 ," $3,953.99 ",NULL
43716,6/4/2011,6/16/2011,6/11/2011,Online Orders,Online Order," $3,578.27 ", $286.26 , $89.46 ," $3,953.99 ",NULL
43717,6/4/2011,6/16/2011,6/11/2011,Online Orders,Online Order, $699.10 , $55.93 , $17.48 , $772.50 ,NULL
43718,6/5/2011,6/17/2011,6/12/2011,Online Orders,Online Order," $3,578.27 ", $286.26 , $89.46 ," $3,953.99 ",NULL
43719,6/5/2011,6/17/2011,6/12/2011,Online Orders,Online Order," $3,578.27 ", $286.26 , $89.46 ," $3,953.99 ",NULL
43720,6/5/2011,6/17/2011,6/12/2011,Online Orders,Online Order," $3,578.27 ", $286.26 , $89.46 ," $3,953.99 ",NULL
43721,6/5/2011,6/17/2011,6/12/2011,Online Orders,Online Order," $3,578.27 ", $286.26 , $89.46 ," $3,953.99 ",NULL
43722,6/6/2011,6/18/2011,6/13/2011,Online Orders,Online Order," $3,578.27 ", $286.26 , $89.46 ," $3,953.99 ",NULL
43723,6/6/2011,6/18/2011,6/13/2011,Online Orders,Online Order, $699.10 , $55.93 , $17.48 , $772.50 ,NULL
43724,6/6/2011,6/18/2011,6/13/2011,Online Orders,Online Order," $3,578.27 ", $286.26 , $89.46 ," $3,953.99 ",NULL
43725,6/7/2011,6/19/2011,6/14/2011,Online Orders,Online Order," $3,578.27 ", $286.26 , $89.46 ," $3,953.99 ",NULL
43726,6/7/2011,6/19/2011,6/14/2011,Online Orders,Online Order, $699.10 , $55.93 , $17.48 , $772.50 ,NULL
43727,6/7/2011,6/19/2011,6/14/2011,Online Orders,Online Order," $3,578.27 ", $286.26 , $89.46 ," $3,953.99 ",NULL
43728,6/8/2011,6/20/2011,6/15/2011,Online Orders,Online Order," $3,578.27 ", $286.26 , $89.46 ," $3,953.99 ",NULL
43729,6/8/2011,6/20/2011,6/15/2011,Online Orders,Online Order," $3,399.99 ", $272.00 , $85.00 ," $3,756.99 ",NULL
43730,6/8/2011,6/20/2011,6/15/2011,Online Orders,Online Order," $3,399.99 ", $272.00 , $85.00 ," $3,756.99 ",NULL
43731,6/8/2011,6/20/2011,6/15/2011,Online Orders,Online Order," $3,578.27 ", $286.26 , $89.46 ," $3,953.99 ",NULL
43732,6/8/2011,6/20/2011,6/15/2011,Online Orders,Online Order," $3,374.99 ", $270.00 , $84.37 ," $3,729.36 ",NULL
43733,6/8/2011,6/20/2011,6/15/2011,Online Orders,Online Order," $3,578.27 ", $286.26 , $89.46 ," $3,953.99 ",NULL
43734,6/9/2011,6/21/2011,6/16/2011,Online Orders,Online Order," $3,578.27 ", $286.26 , $89.46 ," $3,953.99 ",NULL
43735,6/9/2011,6/21/2011,6/16/2011,Online Orders,Online Order," $3,578.27 ", $286.26 , $89.46 ," $3,953.99 ",NULL
43736,6/9/2011,6/21/2011,6/16/2011,Online Orders,Online Order," $3,399.99 ", $272.00 , $85.00 ," $3,756.99 ",NULL
43737,6/10/2011,6/22/2011,6/17/2011,Online Orders,Online Order," $3,578.27 ", $286.26 , $89.46 ," $3,953.99 ",NULL
43738,6/10/2011,6/22/2011,6/17/2011,Online Orders,Online Order," $3,578.27 ", $286.26 , $89.46 ," $3,953.99 ",NULL
43739,6/10/2011,6/22/2011,6/17/2011,Online Orders,Online Order," $3,578.27 ", $286.26 , $89.46 ," $3,953.99 ",NULL
43740,6/10/2011,6/22/2011,6/17/2011,Online Orders,Online Order," $3,578.27 ", $286.26 , $89.46 ," $3,953.99 ",NULL
43741,6/11/2011,6/23/2011,6/18/2011,Online Orders,Online Order," $3,578.27 ", $286.26 , $89.46 ," $3,953.99 ",NULL
43742,6/11/2011,6/23/2011,6/18/2011,Online Orders,Online Order," $3,578.27 ", $286.26 , $89.46 ," $3,953.99 ",NULL
43743,6/11/2011,6/23/2011,6/18/2011,Online Orders,Online Order," $3,399.99 ", $272.00 , $85.00 ," $3,756.99 ",NULL
43744,6/11/2011,6/23/2011,6/18/2011,Online Orders,Online Order," $3,578.27 ", $286.26 , $89.46 ," $3,953.99 ",NULL
43745,6/12/2011,6/24/2011,6/19/2011,Online Orders,Online Order," $3,578.27 ", $286.26 , $89.46 ," $3,953.99 ",NULL
43746,6/12/2011,6/24/2011,6/19/2011,Online Orders,Online Order," $3,578.27 ", $286.26 , $89.46 ," $3,953.99 ",NULL
43747,6/13/2011,6/25/2011,6/20/2011,Online Orders,Online Order," $3,578.27 ", $286.26 , $89.46 ," $3,953.99 ",NULL
43748,6/13/2011,6/25/2011,6/20/2011,Online Orders,Online Order," $3,578.27 ", $286.26 , $89.46 ," $3,953.99 ",NULL
43749,6/13/2011,6/25/2011,6/20/2011,Online Orders,Online Order," $3,578.27 ", $286.26 , $89.46 ," $3,953.99 ",NULL
43750,6/13/2011,6/25/2011,6/20/2011,Online Orders,Online Order," $3,578.27 ", $286.26 , $89.46 ," $3,953.99 ",NULL
43751,6/13/2011,6/25/2011,6/20/2011,Online Orders,Online Order," $3,578.27 ", $286.26 , $89.46 ," $3,953.99 ",NULL
43752,6/13/2011,6/25/2011,6/20/2011,Online Orders,Online Order," $3,578.27 ", $286.26 , $89.46 ," $3,953.99 ",NULL
43753,6/13/2011,6/25/2011,6/20/2011,Online Orders,Online Order," $3,578.27 ", $286.26 , $89.46 ," $3,953.99 ",NULL
43754,6/14/2011,6/26/2011,6/21/2011,Online Orders,Online Order," $3,578.27 ", $286.26 , $89.46 ," $3,953.99 ",NULL
43755,6/14/2011,6/26/2011,6/21/2011,Online Orders,Online Order," $3,578.27 ", $286.26 , $89.46 ," $3,953.99 ",NULL
43756,6/14/2011,6/26/2011,6/21/2011,Online Orders,Online Order, $699.10 , $55.93 , $17.48 , $772.50 ,NULL
43757,6/14/2011,6/26/2011,6/21/2011,Online Orders,Online Order," $3,374.99 ", $270.00 , $84.37 ," $3,729.36 ",NULL
43758,6/15/2011,6/27/2011,6/22/2011,Online Orders,Online Order," $3,578.27 ", $286.26 , $89.46 ," $3,953.99 ",NULL
43759,6/15/2011,6/27/2011,6/22/2011,Online Orders,Online Order," $3,578.27 ", $286.26 , $89.46 ," $3,953.99 ",NULL
43760,6/15/2011,6/27/2011,6/22/2011,Online Orders,Online Order," $3,578.27 ", $286.26 , $89.46 ," $3,953.99 ",NULL
43761,6/15/2011,6/27/2011,6/22/2011,Online Orders,Online Order," $3,578.27 ", $286.26 , $89.46 ," $3,953.99 ",NULL
43762,6/16/2011,6/28/2011,6/23/2011,Online Orders,Online Order," $3,578.27 ", $286.26 , $89.46 ," $3,953.99 ",NULL
43763,6/16/2011,6/28/2011,6/23/2011,Online Orders,Online Order," $3,578.27 ", $286.26 , $89.46 ," $3,953.99 ",NULL
43764,6/16/2011,6/28/2011,6/23/2011,Online Orders,Online Order," $3,578.27 ", $286.26 , $89.46 ," $3,953.99 ",NULL
43765,6/16/2011,6/28/2011,6/23/2011,Online Orders,Online Order," $3,399.99 ", $272.00 , $85.00 ," $3,756.99 ",NULL
43766,6/17/2011,6/29/2011,6/24/2011,Online Orders,Online Order," $3,578.27 ", $286.26 , $89.46 ," $3,953.99 ",NULL
43767,6/17/2011,6/29/2011,6/24/2011,Online Orders,Online Order," $3,374.99 ", $270.00 , $84.37 ," $3,729.36 ",NULL
43768,6/18/2011,6/30/2011,6/25/2011,Online Orders,Online Order," $3,578.27 ", $286.26 , $89.46 ," $3,953.99 ",NULL
43769,6/18/2011,6/30/2011,6/25/2011,Online Orders,Online Order," $3,578.27 ", $286.26 , $89.46 ," $3,953.99 ",NULL
43770,6/18/2011,6/30/2011,6/25/2011,Online Orders,Online Order," $3,578.27 ", $286.26 , $89.46 ," $3,953.99 ",NULL
43771,6/18/2011,6/30/2011,6/25/2011,Online Orders,Online Order, $699.10 , $55.93 , $17.48 , $772.50 ,NULL
43772,6/18/2011,6/30/2011,6/25/2011,Online Orders,Online Order," $3,578.27 ", $286.26 , $89.46 ," $3,953.99 ",NULL
43773,6/18/2011,6/30/2011,6/25/2011,Online Orders,Online Order," $3,578.27 ", $286.26 , $89.46 ," $3,953.99 ",NULL
43774,6/18/2011,6/30/2011,6/25/2011,Online Orders,Online Order," $3,578.27 ", $286.26 , $89.46 ," $3,953.99 ",NULL
43775,6/18/2011,6/30/2011,6/25/2011,Online Orders,Online Order," $3,399.99 ", $272.00 , $85.00 ," $3,756.99 ",NULL
43776,6/19/2011,7/1/2011,6/26/2011,Online Orders,Online Order," $3,578.27 ", $286.26 , $89.46 ," $3,953.99 ",NULL
43777,6/19/2011,7/1/2011,6/26/2011,Online Orders,Online Order," $3,578.27 ", $286.26 , $89.46 ," $3,953.99 ",NULL
43778,6/19/2011,7/1/2011,6/26/2011,Online Orders,Online Order," $3,399.99 ", $272.00 , $85.00 ," $3,756.99 ",NULL
43779,6/19/2011,7/1/2011,6/26/2011,Online Orders,Online Order, $699.10 , $55.93 , $17.48 , $772.50 ,NULL
43780,6/20/2011,7/2/2011,6/27/2011,Online Orders,Online Order," $3,578.27 ", $286.26 , $89.46 ," $3,953.99 ",NULL
43781,6/20/2011,7/2/2011,6/27/2011,Online Orders,Online Order," $3,578.27 ", $286.26 , $89.46 ," $3,953.99 ",NULL
43782,6/20/2011,7/2/2011,6/27/2011,Online Orders,Online Order," $3,578.27 ", $286.26 , $89.46 ," $3,953.99 ",NULL
43783,6/20/2011,7/2/2011,6/27/2011,Online Orders,Online Order," $3,578.27 ", $286.26 , $89.46 ," $3,953.99 ",NULL
43784,6/21/2011,7/3/2011,6/28/2011,Online Orders,Online Order," $3,578.27 ", $286.26 , $89.46 ," $3,953.99 ",NULL
43785,6/21/2011,7/3/2011,6/28/2011,Online Orders,Online Order," $3,578.27 ", $286.26 , $89.46 ," $3,953.99 ",NULL
43786,6/21/2011,7/3/2011,6/28/2011,Online Orders,Online Order," $3,578.27 ", $286.26 , $89.46 ," $3,953.99 ",NULL
43787,6/21/2011,7/3/2011,6/28/2011,Online Orders,Online Order," $3,399.99 ", $272.00 , $85.00 ," $3,756.99 ",NULL
43788,6/21/2011,7/3/2011,6/28/2011,Online Orders,Online Order," $3,374.99 ", $270.00 , $84.37 ," $3,729.36 ",NULL
43789,6/21/2011,7/3/2011,6/28/2011,Online Orders,Online Order," $3,374.99 ", $270.00 , $84.37 ," $3,729.36 ",NULL
43790,6/21/2011,7/3/2011,6/28/2011,Online Orders,Online Order," $3,399.99 ", $272.00 , $85.00 ," $3,756.99 ",NULL
43791,6/21/2011,7/3/2011,6/28/2011,Online Orders,Online Order," $3,578.27 ", $286.26 , $89.46 ," $3,953.99 ",NULL
43792,6/21/2011,7/3/2011,6/28/2011,Online Orders,Online Order," $3,578.27 ", $286.26 , $89.46 ," $3,953.99 ",NULL
43793,6/21/2011,7/3/2011,6/28/2011,Online Orders,Online Order," $3,399.99 ", $272.00 , $85.00 ," $3,756.99 ",NULL
43794,6/21/2011,7/3/2011,6/28/2011,Online Orders,Online Order," $3,399.99 ", $272.00 , $85.00 ," $3,756.99 ",NULL
43795,6/22/2011,7/4/2011,6/29/2011,Online Orders,Online Order," $3,578.27 ", $286.26 , $89.46 ," $3,953.99 ",NULL
43796,6/22/2011,7/4/2011,6/29/2011,Online Orders,Online Order, $699.10 , $55.93 , $17.48 , $772.50 ,NULL
43797,6/22/2011,7/4/2011,6/29/2011,Online Orders,Online Order," $3,578.27 ", $286.26 , $89.46 ," $3,953.99 ",NULL
43798,6/22/2011,7/4/2011,6/29/2011,Online Orders,Online Order," $3,578.27 ", $286.26 , $89.46 ," $3,953.99 ",NULL
43799,6/22/2011,7/4/2011,6/29/2011,Online Orders,Online Order," $3,578.27 ", $286.26 , $89.46 ," $3,953.99 ",NULL
43800,6/23/2011,7/5/2011,6/30/2011,Online Orders,Online Order," $3,578.27 ", $286.26 , $89.46 ," $3,953.99 ",NULL
43801,6/23/2011,7/5/2011,6/30/2011,Online Orders,Online Order," $3,578.27 ", $286.26 , $89.46 ," $3,953.99 ",NULL
43802,6/23/2011,7/5/2011,6/30/2011,Online Orders,Online Order," $3,578.27 ", $286.26 , $89.46 ," $3,953.99 ",NULL
43803,6/24/2011,7/6/2011,7/1/2011,Online Orders,Online Order," $3,578.27 ", $286.26 , $89.46 ," $3,953.99 ",NULL
43804,6/24/2011,7/6/2011,7/1/2011,Online Orders,Online Order," $3,578.27 ", $286.26 , $89.46 ," $3,953.99 ",NULL
43805,6/24/2011,7/6/2011,7/1/2011,Online Orders,Online Order, $699.10 , $55.93 , $17.48 , $772.50 ,NULL
43806,6/24/2011,7/6/2011,7/1/2011,Online Orders,Online Order," $3,578.27 ", $286.26 , $89.46 ," $3,953.99 ",NULL
43807,6/25/2011,7/7/2011,7/2/2011,Online Orders,Online Order," $3,578.27 ", $286.26 , $89.46 ," $3,953.99 ",NULL
43808,6/25/2011,7/7/2011,7/2/2011,Online Orders,Online Order," $3,578.27 ", $286.26 , $89.46 ," $3,953.99 ",NULL
43809,6/25/2011,7/7/2011,7/2/2011,Online Orders,Online Order," $3,578.27 ", $286.26 , $89.46 ," $3,953.99 ",NULL
43810,6/25/2011,7/7/2011,7/2/2011,Online Orders,Online Order," $3,399.99 ", $272.00 , $85.00 ," $3,756.99 ",NULL
43811,6/25/2011,7/7/2011,7/2/2011,Online Orders,Online Order," $3,399.99 ", $272.00 , $85.00 ," $3,756.99 ",NULL
43812,6/26/2011,7/8/2011,7/3/2011,Online Orders,Online Order," $3,578.27 ", $286.26 , $89.46 ," $3,953.99 ",NULL
43813,6/26/2011,7/8/2011,7/3/2011,Online Orders,Online Order," $3,374.99 ", $270.00 , $84.37 ," $3,729.36 ",NULL
43814,6/26/2011,7/8/2011,7/3/2011,Online Orders,Online Order," $3,374.99 ", $270.00 , $84.37 ," $3,729.36 ",NULL
43815,6/26/2011,7/8/2011,7/3/2011,Online Orders,Online Order," $3,578.27 ", $286.26 , $89.46 ," $3,953.99 ",NULL
43816,6/26/2011,7/8/2011,7/3/2011,Online Orders,Online Order," $3,578.27 ", $286.26 , $89.46 ," $3,953.99 ",NULL
43817,6/26/2011,7/8/2011,7/3/2011,Online Orders,Online Order," $3,578.27 ", $286.26 , $89.46 ," $3,953.99 ",NULL
43818,6/26/2011,7/8/2011,7/3/2011,Online Orders,Online Order," $3,578.27 ", $286.26 , $89.46 ," $3,953.99 ",NULL
43819,6/26/2011,7/8/2011,7/3/2011,Online Orders,Online Order," $3,399.99 ", $272.00 , $85.00 ," $3,756.99 ",NULL
43820,6/27/2011,7/9/2011,7/4/2011,Online Orders,Online Order," $3,578.27 ", $286.26 , $89.46 ," $3,953.99 ",NULL
43821,6/27/2011,7/9/2011,7/4/2011,Online Orders,Online Order," $3,578.27 ", $286.26 , $89.46 ," $3,953.99 ",NULL
43822,6/27/2011,7/9/2011,7/4/2011,Online Orders,Online Order," $3,578.27 ", $286.26 , $89.46 ," $3,953.99 ",NULL
43823,6/27/2011,7/9/2011,7/4/2011,Online Orders,Online Order, $699.10 , $55.93 , $17.48 , $772.50 ,NULL
43824,6/27/2011,7/9/2011,7/4/2011,Online Orders,Online Order, $699.10 , $55.93 , $17.48 , $772.50 ,NULL
43825,6/27/2011,7/9/2011,7/4/2011,Online Orders,Online Order," $3,578.27 ", $286.26 , $89.46 ," $3,953.99 ",NULL
43826,6/27/2011,7/9/2011,7/4/2011,Online Orders,Online Order," $3,374.99 ", $270.00 , $84.37 ," $3,729.36 ",NULL
43827,6/27/2011,7/9/2011,7/4/2011,Online Orders,Online Order, $699.10 , $55.93 , $17.48 , $772.50 ,NULL
43828,6/28/2011,7/10/2011,7/5/2011,Online Orders,Online Order," $3,578.27 ", $286.26 , $89.46 ," $3,953.99 ",NULL
43829,6/28/2011,7/10/2011,7/5/2011,Online Orders,Online Order," $3,578.27 ", $286.26 , $89.46 ," $3,953.99 ",NULL
43830,6/28/2011,7/10/2011,7/5/2011,Online Orders,Online Order," $3,578.27 ", $286.26 , $89.46 ," $3,953.99 ",NULL
43831,6/28/2011,7/10/2011,7/5/2011,Online Orders,Online Order," $3,374.99 ", $270.00 , $84.37 ," $3,729.36 ",NULL
43832,6/28/2011,7/10/2011,7/5/2011,Online Orders,Online Order," $3,578.27 ", $286.26 , $89.46 ," $3,953.99 ",NULL
43833,6/29/2011,7/11/2011,7/6/2011,Online Orders,Online Order," $3,578.27 ", $286.26 , $89.46 ," $3,953.99 ",NULL
43834,6/29/2011,7/11/2011,7/6/2011,Online Orders,Online Order," $3,374.99 ", $270.00 , $84.37 ," $3,729.36 ",NULL
43835,6/29/2011,7/11/2011,7/6/2011,Online Orders,Online Order," $3,374.99 ", $270.00 , $84.37 ," $3,729.36 ",NULL
43836,6/29/2011,7/11/2011,7/6/2011,Online Orders,Online Order, $699.10 , $55.93 , $17.48 , $772.50 ,NULL
43837,6/29/2011,7/11/2011,7/6/2011,Online Orders,Online Order," $3,374.99 ", $270.00 , $84.37 ," $3,729.36 ",NULL
43838,6/30/2011,7/12/2011,7/7/2011,Online Orders,Online Order," $3,578.27 ", $286.26 , $89.46 ," $3,953.99 ",NULL
43839,6/30/2011,7/12/2011,7/7/2011,Online Orders,Online Order," $3,578.27 ", $286.26 , $89.46 ," $3,953.99 ",NULL
43840,6/30/2011,7/12/2011,7/7/2011,Online Orders,Online Order, $699.10 , $55.93 , $17.48 , $772.50 ,NULL
43841,6/30/2011,7/12/2011,7/7/2011,Online Orders,Online Order," $3,578.27 ", $286.26 , $89.46 ," $3,953.99 ",NULL
43842,6/30/2011,7/12/2011,7/7/2011,Online Orders,Online Order," $3,578.27 ", $286.26 , $89.46 ," $3,953.99 ",NULL
43843,7/1/2011,7/13/2011,7/8/2011,Catalog Store,Online Sale," $32,940.16 "," $3,174.20 ", $991.94 ," $37,106.29 ",1332
43844,7/1/2011,7/13/2011,7/8/2011,Two-Wheeled Transit Company,Online Sale," $20,249.94 "," $1,943.99 ", $607.50 ," $22,801.43 ",608
43845,7/1/2011,7/13/2011,7/8/2011,New and Used Bicycles,Online Sale," $8,580.07 ", $823.67 , $257.40 ," $9,661.14 ",1182
43846,7/1/2011,7/13/2011,7/8/2011,First-Rate Outlet,Online Sale, $919.52 , $90.66 , $28.33 ," $1,038.52 ",438
43847,7/1/2011,7/13/2011,7/8/2011,Gasless Cycle Shop,Online Sale, $908.82 , $86.93 , $27.17 ," $1,022.92 ",412
43848,7/1/2011,7/13/2011,7/8/2011,Suburban Cycle Shop,Online Sale," $18,269.95 "," $1,753.91 ", $548.10 ," $20,571.96 ",818
43849,7/1/2011,7/13/2011,7/8/2011,Brakes and Gears,Online Sale," $20,544.70 "," $1,969.98 ", $615.62 ," $23,130.30 ",1032
43850,7/1/2011,7/13/2011,7/8/2011,Non-Slip Pedal Company,Online Sale," $10,183.80 ", $982.94 , $307.17 ," $11,473.90 ",1192
43851,7/1/2011,7/13/2011,7/8/2011,Retail Sales and Service,Online Sale," $6,783.77 ", $651.50 , $203.59 ," $7,638.86 ",344
43852,7/1/2011,7/13/2011,7/8/2011,Economy Center,Online Sale," $2,024.99 ", $194.40 , $60.75 ," $2,280.14 ",1112
43853,7/1/2011,7/13/2011,7/8/2011,Sharp Bikes,Online Sale," $26,354.92 "," $2,530.07 ", $790.65 ," $29,675.64 ",1022
43854,7/1/2011,7/13/2011,7/8/2011,Professional Cyclists,Online Sale," $1,749.59 ", $167.96 , $52.49 ," $1,970.04 ",1406
43855,7/1/2011,7/13/2011,7/8/2011,National Manufacturing,Online Sale," $10,993.35 "," $1,058.72 ", $330.85 ," $12,382.92 ",1312
43856,7/1/2011,7/13/2011,7/8/2011,Sixth Bike Store,Online Sale," $2,036.39 ", $195.39 , $61.06 ," $2,292.84 ",738
